,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7
1,calvary stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,100% polyester,rust,black,ink,military
2,leather,suppler? can you source same quality as other faux  leather trims,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather
3,insulation,supplier/ reference number,location ,content,rust,black,ink,military
4,non insulated,none,none,none,none,none,none,none
5,seam tape,supplier/ reference number,location ,content,rust,black,ink,military
6,seam tape,tsgs ,fully taped,none,fully taped,fully taped,fully taped,fully taped
7,lining,supplier/ reference number,location ,content,rust,black,ink,military
8,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black
9,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black
10,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black
11,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black
12,lower leg lining print (see pdf),supplier/ reference number,location ,content,rust,black,ink,military
13,on coated 210t,please source ,lower leg front and back,none,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print
