,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8
1,cavalry stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,none,walnut,ink,military,black,silt
2,brown faux leather,please source,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather
3,insulation,supplier/ reference number,location ,content,walnut,ink,military,black,silt
4,polyfill,pinneco mantle,seat,100% polyester,40g,40g,40g,40g,40g
5,polyfill,pinneco mantle,knees (front),100% polyester,40g,40g,40g,40g,40g
6,seam tape,supplier/ reference number,location ,content,walnut,ink,military,black,silt
7,seam tape,tsgs ,fully seam sealed,none,fully seam sealed,fully seam sealed,fully seam sealed,fully seam sealed,fully seam sealed
8,lining,supplier/ reference number,location ,content,walnut,ink,military,black,silt
9,solid 210t ,solis/ sonp006-1 ,legs,100% nylon,black,black,black,black,black
10,solid 210t ,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black
11,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black,black
12,brushed tricot,brushed tricot,hand pocket bags,100% polyester,black,black,black,black,black
13,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,black
14,lower leg lining print (see pdf),supplier/ reference number,location ,content,walnut,ink,military,black,silt
15,on coated 210t,please source ,lower leg front and back,none,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt 
