,label,material/trim,description,location,qty,black,moose,pizza,mens fish
9,a,main fabric,94% spun polyester 6%spandex single jersey + wicking               r21103023,main body,none,black,moose,pizza,mens fish
10,b,binding,94% spun polyester 6%spandex single jersey + wicking                      r21103023,hood opening,none,black,moose,pizza,mens fish
11,c,thread,none,flatlock seams upper body,none,black,black,black,excalibur 18-3905
12,d,thread,none,flatlock seams lower body,none,black,red 19-1763tpx,black,olive 18-0420tpx
15,aa,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,c.f. zipper,1,black,red 519,black,dk grey 155
16,bb,zipper,ykk  no.3 nylon coil zipper with double slider (bottom to bottom) auto-lock slider dadr4 ,waistband zipper,1,black,red 519,black,dk grey 155
19,cc,main label,abtr_538v transfer label 100% polyester,"inside c.b. neck, 3  cm below neck seam",1,white,white,black,white
20,dd,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,black,black,black,black
21,ee,embroidery,ninja star abem_015a 2-color ,"at wearer's left chest, sewn directly to chest with sns edge stitch, see palcement page for detail  (a. star color, b. pill color)",1,a) metallic silver st101                      b) black,a) black                        b) red 10010,,a) dk grey 40038      b) burgandy f194
22,ff,embroidery,abem_310 pizza ninja star,"at wearer's left chest, sewn directly to chest with sns edge stitch",1,,,yellow/red/black/brown,
25,gg,hangtag,none,c.f. zipper. use white color webbing rope to attach. supplied by sml.,1,tbd,tbd,tbd,none
26,hh,size sticker,clear size indication zipper,2 pcs placed on each designated white square on side of packing box.,2,clear,clear,clear,none
27,ii,upc sticker,sticker width 3.5 cm,"at bottom side of ninja suit packaging box.  place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 12/13.",1,white,white,white,none
28,jj,ninja packing box,see sample,garment folded neatly and placed in packing box.  will advise ordering information when available.,1,black,black,black,none
