,description,item,ref,content,colorway/4,colorway/5,colorway/6
1,a,wax fabric pa07001-2lc 15k/15k 4.68,raco,none,none,none,none
2,none,with melang hb wmd017-pr $4.55 20k10k only,wide plus,none,none,none,none
3,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
4,non insulated,none,none,none,non insulated,none,none
5,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
6,fully taped,width...seam tape,sealon,none,fully  taped,none,none
7,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
8,"hood,  sleeves, chest and top entry pocket bag",solid 210d,solis / ref number,none,none,none,none
9,front and back panels,waffle fleece,solis / ref number,none,none,none,none
10,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
11,chin & side entry pocket bags,brushed tricot,solis / ref number,none,none,none,none
12,underam vents,regular mesh,solis / ref number,none,none,none,none
13,goggle pocket,power stretch mesh,solis / ref number,none,none,none,none
14,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
