,position,ref num,location ,content,silt,military,ink,port,bone,black,walnut
9,cavalry stretch twill,raco / calvary stretch twill 950703-b / 10k/10k / c6 + dwr,a,none,silt,military,ink,port,bone,black,walnut
10,brown faux leather,please source,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather
11,insulation,supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
13,seam tape,supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
14,seam tape,tsgs ,critically taped,none,critically taped,critically taped,critically taped,critically taped,critically taped,critically taped,critically taped
15,lining,supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
16,regular mesh,1606b02 (als-16038),main body,100% polyester,black,black,black,black,black,black,black
17,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,black,black,black,black,black,black
18,solid coated 210t ,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black,black,black
19,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black,black,black
20,lower leg lining print (see pdf),supplier/ reference number,location ,content,silt,military,ink,port,bone,black,walnut
21,on coated 210t,please source ,lower leg front and back,none,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt ,pantone 16-5807 tcx silt 
