,,MATERIAL_ID,CATEGORY,,,position,,color_way,fabric,
0,0.0,6.0,fabric,INSULATION:,,NON INSULATED,,,TARGET FOB:,0.0
1,1.0,9.0,zipper, #5 COIL ZIPPER,YKK / 5 DALH 1-WAY SEMI AUTO LOCKING,CENTER FRONT,1.0,SILDER/PULL COLOR: PSEUDO ANTI SILVER/ ZIPPER TAPE COLOR: BLACK,,
2,2.0,12.0,other,NITRO CUSTOM PULL / N14-TRIM-139,KNK / 3738,CENTER FRONT,1.0,COLOR,,
3,3.0,19.0,other,8MM METAL EYELET,LUK'S / ET04,HOOD ADJUST,2.0,COLOR,,
4,4.0,20.0,other,CORD LOCK,,HOOD ADJUST,1.0,COLOR,,
5,5.0,21.0,other,BEAD,,HOOD ADJUST,1.0,COLOR,,
6,6.0,22.0,other,15MM SNAP ,LUK'S / 404,SIDE ENTRY,8.0,COLOR,,
7,7.0,25.0,other,SHOCKCORD,XXX,HOOD,1.0,COLOR,,
8,8.0,34.0,other,TOPSTITCH,8-10 SPI,30/2,,MATCH TO SHELL,,
9,9.0,35.0,other,BARTACKS,,100/2,,MATCH TO SHELL,,
10,10.0,38.0,label,MAIN LABEL,,CENTER BACK BELOW NECK SEAM,1.0,,,
11,11.0,42.0,other,MAIN HANG TAG,,LEFT HAND POCKET ZIPPER,1.0,,,
12,12.0,47.0,label,ADDRESS LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1.0,,,
13,13.0,48.0,label,CONTENT LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1.0,,,
14,14.0,49.0,label,WASHING LABEL,FACTORY SOURCED,LINING LEFT SIDE SEAM,1.0,,,
